job_title,job_category,company,location,region,salary,link,summary
"Aerospace Engineer – Research Scientist (Dayton, OH)",Research Scientist,Ahmic Aerospace,,Kentucky,"$64,000 - $90,000 a year",https://indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DPXqhu2K9MM1quCaWZyB9lnaENK3c7qsSknhLlFEtbYyvrwKcKlzb20DqdexPtTAOipLa95-nJcLe1qQMcAX2OLY7ekT4fL0d6g5jTH5FK7DrQKqHNrFg5Bh0-SWRPpbeRToWmqdrT_t6Q5wUoh5GfZQWIrBK1ou3h_IbBSAnkakMMVWtM3AEU-2EADNg3GA7mxZ5h-Ov57bE1CuEaimW5QNyvxWm03LJcO0phs9j_XCgSaZuS1M0gj_lAlRx54qLRidjDdKLGeUiOsLmHDtFeeJmj9NO_U00XbFQ5avMmgdq0MYi0YI5Rtyk3k2UD50TJT2upPXR5zGbVXoRlJTGJIZZdaRrt4vL8fBEMP3IVDsbZlwEuw4N3XH0SejzDmCPsGPFe4U3psHdR-TIoLjp8f8Zk0kfm_KoLNzR3SmdGlQgN-5QxLRBJbAGBN8JoGWmgMwAmVMqA5kRVEMngISl-sRur9qFcDTg=&p=0&fvj=1&vjs=3,"About Us: Ahmic is a small aerospace research company specializing in high-performance instrumentation and measurement techniques. Our research portfolio targets many high-speed and high-enthalpy test environments including scramjet vehicles, propulsion systems, re-entry flight systems, space access vehicles, and material testing. Ahmic develops advanced instrumentation to transform the way aerospace test data is collected in challenging aerothermodynamic environments.Be Fearless. Be Ambitious. Be Different.Ahmic is looking for an extraordinary engineer to join our growing team. We spend our days solving difficult problems and developing new products that redefine the aerospace industry. In this fast-paced environment, the sky is not the limit. Seriously, we build sensors that go into space! Are you a motivated self-starter with the ability to drive tasks to completion? Are you a bold uncompromising disrupter who is not afraid to challenge the status quo? Are you a fearless critical thinker with a passion for risk-taking? If so, let’s talk!Your Responsibilities: Develop, plan, and execute laboratory and supersonic/hypersonic wind tunnel test programs.Process, analyze, and present experimental test data to the team and customers.Design and develop novel aerospace instrumentation to meet industry needs.Quickly understand new technologies and adapt to rapidly changing program requirements.Your Qualifications: Broad experience designing and conducting laboratory / wind tunnel experimentsStrong technical proficiency in data acquisition principles and software / hardwareInstrumentation experience working with thermocouples, pressure systems, strain gages, load cells, and other mechanical and flow measurement devicesProgramming skills (LabVIEW / MATLAB) in data analysis and post-processingPossess a deep understanding of fundamental engineering principles required to solve complex fluid problems: boundary layer analysis, high-speed aero, propulsion, etc.Experience writing clear and concise technical proposals, reports, and test plansRequirements: US Citizenship, as defined by ITAR (22 CFR 120.15.)Ability to obtain US DoD Security Clearance if requiredDegree in Aerospace Engineering (or related disciplines)M.S. or Ph.D. degree; or B.S. degree with 5 years related work experienceLocation:  Dayton, OHJob Type: Full-timeSalary: $64,000.00 to $90,000.00 /yearExperience:relevant: 2 years (Required)Education:Master's (Required)Application Question:Are you a U.S. citizen & able to obtain a DoD security clearance?Additional Compensation:BonusesWork Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleParental leaveRelocation assistanceTuition reimbursementProfessional development assistanceThis Job Is Ideal for Someone Who Is:Innovative -- prefers working in unconventional ways or on tasks that require creativityAchievement-oriented -- enjoys taking on challenges, even if they might failAdaptable/flexible -- enjoys doing work that requires frequent shifts in directionSchedule:Monday to FridayCompany's website:http://www.ahmicaerospace.com/"
Research Scientist Assistant/CAER,Research Scientist,University of Kentucky,"Lexington, KY",Kentucky,$16.49 - $26.38 an hour,https://indeed.com//rc/clk?jk=c9036a3e2e753a1b&fccid=08f0dbb5cdf17d24&vjs=3,"Required License/Registration/Certification
None.

Physical Requirements
Standing/sitting for long periods. Lifting up to 20 lbs.

Shift
Monday-Friday 8:00-5:00 PM; occasional evening and weekends.

Job Summary
The University of Kentucky Center for Applied Energy Research is seeking to fill a Scientist Assistant position for its Biofuels & Environmental Catalysis research group. The successful candidate will participate in multidisciplinary studies of processes pertaining to energy conversion and the environment. This position includes the cultivation of microalgae, as well as subsequent processing of produced algae biomass into products such as fuels, bioplastic feedstock, fertilizer and nutraceutical compounds. Other tasks will include providing direction, guidance, and training for Center scientific and engineering personnel and students. The candidate is expected to: 1) cultivate microalgae at scales of up to 1200 L; 2) harvest, dry and fractionate produced biomass as necessary; 3) analyze algae cultures and produced biomass using diverse analytical methods (e.g., dry mass measurements, UV-vis spectrophotometry, optical microscopy); 4) record relevant abiotic data during algae cultivation (temperature, pH, etc.); 5) check and calibrate analytical equipment before use and clean and maintain equipment after use; 6) prepare chemical solutions according to standard formulas; 7) record results of laboratory tests; 8) prepare reports and graphs illustrating and analyzing laboratory data; 9) attend project planning meetings and provide input when required; and 10) provide training to other personnel and students.

Skills / Knowledge / Abilities
Candidate should have experience in the cultivation of algae or related microorganisms. Experience with standard wet chemistry techniques is also preferred. Good computer skills and communication skills (oral and written) are required. The successful candidate shall have a minimum of a BS degree from an accredited college or university in biology or a related field + 0-3 years of experience, or the equivalent in education, experience and training. Applicants must be able to perform all essential job functions as identified in position description; copy available to candidates selected for interview.

Does this position have supervisory responsibilities? No

Preferred Education/Experience


University Community of Inclusion
The University of Kentucky is committed to a diverse and inclusive workforce by ensuring all our students, faculty, and staff work in an environment of openness and acceptance. We strive to foster a community where people of all backgrounds, identities, and perspectives can feel secure and welcome. We also value the well-being of each of our employees and are dedicated to creating a healthy place to work, learn and live. In the interest of maintaining a safe and healthy environment for our students, employees, patients and visitors the University of Kentucky is a Tobacco & Drug Free campus.

As an Equal Opportunity Employer, we strongly encourage veterans, individuals with disabilities, women, and all minorities to consider our employment opportunities.

Any candidate offered a position may be required to pass pre-employment screenings as mandated by University of Kentucky Human Resources. These screenings may include a national background check and/or drug screen."
Research Scientist II,Research Scientist,University of Kentucky,"Lexington, KY 40508 (Central Downtown area)",Kentucky,"$49,254 - $81,266 a year",https://indeed.com//company/University-of-Kentucky/jobs/Research-Scientist-3e7ba0c23048de69?fccid=08f0dbb5cdf17d24&vjs=3,"Perform independent biomedical scientific research, including but not limited to, molecular biology, gene cloning, genetic engineering, cell and tissue culture, harvesting laboratory animal tissues for analyses, analyses of animal and human specimens, isolate patient-derived cells from tumors, test drugs/antibodies using 3D organoids/spheroids and an array of cell-based assays (e.g. cell death, proliferation, migration and invasion), immunoblotting, advanced flow cytometry and analysis, subcellular fractionation, qRT-PCR, IHC, IF, cloning, genetic engineering etc. Perform cancer xenografts (e.g. mammary fat pad, subcutaneous, orthotopic), tail vein injections, mouse survival studies, patient-derived xenografts. Oversee animal colonies, execute and manage husbandry procedures.Diligent with all details of experimental design in lab notebooks. Contributes to scientific analysis and interpretation of projects. Perform quantitative, qualitative and statistical analysis of research data. Confer with PI regarding results obtained and make modification to procedures and/or interpretation of final data.Contribute to writing papers from research results. Present papers at meetings. Assist in formating data for research grant proposals. Assist junior personnel, students, residents and other personnel rotating through the laboratory with data acquisition and analysis, assist with poster presentations and manuscripts.Train junior personnel, students, residents, post-docs etc. with standard and complex research experiments. Plan, direct and coordinate complex research experiments under PIs instructions, following standard technical procedures. Work with PI to formulate research plans, coordinate project activities and establish appropriate reporting procedures. Oversee records of all tests performed, data collected and reviews preliminary analysis of personnel in lab. Establish and maintain quality control measures for assigned project operations. Ensure accurate assembly, calibration, operation and modification of a variety of lab equipment.Please email CV to PI and apply to the University of Kentucky online job site (https://ukjobs.uky.edu/postings/search) - job postings RE20577 or RE20548.Job Type: Full-timeSalary: $49,254.00 to $81,266.00 /yearExperience:Research: 5 years (Required)Education:Doctorate (Required)Location:Lexington, KY (Required)Language:english (Required)Work authorization:United States (Required)Work Location:One locationBenefits:Health insuranceRetirement plan"
Research Scientist,Research Scientist,University of Louisville,"Louisville, KY",Kentucky,"From $48,421 a year",https://indeed.com//rc/clk?jk=ca13961701a83de7&fccid=6d4f607d4211af63&vjs=3,"Job ID: 38165

Location: Electrical Engineering

Minimum Qualifications
Ph.D. with seven years of applied research experience in a related field. A Master's degree and ten years of applied research experience may be substituted for the requirements noted. The university offers market competitive salary and benefits. Grade EG Salary minimum $48,421
Preferred Qualifications
We are seeking an independent, dedicated, hard-working individual with an appropriate background in robotics and mechatronics related to industrial and precision robotics and mechatronics, automation, and intimate knowledge of NI LabVIEW, Robot Operation System, Gazebo and MATLAB simulation environment and others. The ideal candidate should have a research track record in robot grasping, robot control, robot sensing and human-robot collaboration.
Position Description
The Louisville Automation and Robotics Research Institute (LARRI) at the University of Louisville Speed School of Engineering is seeking a research scientist engineer I applicant interested in research involving robotics and mechatronics to lead the service robotics research area. This is a term appointment and has fixed end dates. The total duration of this position may not exceed 5 years. The candidate will be mentored by Dr. Dan Popa, Professor.
The successful candidate is expected to develop a nationally competitive research and development program on Human-Machine Interaction with service robots, with applications to manufacturing, logistics and healthcare. The research scientist will develop and execute research projects, including be involved in the integration of hands-on software and hardware deliverables to funding agencies and industry, write proposals and deliver talks as Principal Investigator/co-Principal Investigator to industry, state and federal agencies with the aims of securing funding for research personnel. The research scientist is also expected to supervise teams of other engineers, graduate and undergraduate students and research associates as necessary for the completion of projects.
In this position, the research scientist will report to the Institute Director. During the first year of service, the candidate will work on new exciting research initiatives funded through National Science Foundations KY-EPSCOR, SCH (Smart Connected Health), & MRI (Major Research Instrumentation) programs; the candidate will train for these research initiatives under the supervision and direction of Dr. Dan Popa. The first project involves deploying tactile sensor arrays on robotic and mechatronic devices with applications to manufacturing and healthcare. The second project involves building the next generation autism robot with adaptive repertoire tailored to condition severity; The third project will create a new type of precision assembly and 3D printing robotic systems for nano, micro and meso scale electronic and sensor devices. The candidate will also work on new projects related to robotic fetching and decentralized control for logistics applications in collaboration with local companies.
Equal Employment Opportunity
The University of Louisville is an equal opportunity, affirmative action employer, and is committed to providing employment opportunities to all qualified applicants without regard to race, sex, age, color, national origin, ethnicity, creed, religion, disability, genetic information, sexual orientation, gender, gender identity and expression, marital status, pregnancy, or veteran status. If you are unable to use our online application process due to an impairment or disability, please contact the Employment team at employment@louisville.edu or 502.852.6258.
How To Apply -Staff Positions
To apply for this position, follow the ""Online App. Form"" link below and then click on the ""Apply Now"". You must answer all required fields and submit your application by clicking the ""Submit"" button. Detailed instructions are available at louisville.edu/jobs in the ""My Career Tools"" section. Vacancies are routinely removed from the jobs portal around 7:00PM each Monday.
NOTE:
Only ONE attachment can be uploaded per application. If you wish to include a cover letter or other documents, please combine them as one document with your resume/cv, save the document with a simple short title that contains only letters, spaces, or numbers, and then upload.
Computers are available for application submission at the Human Resources Department located at 1980 Arthur Street - Louisville, Kentucky 40208. For more information, please contact us by email at employment@louisville.edu or by phone 502-852-6258.
If you require assistance or accommodation with our online application process, you may schedule an appointment at (502) 852-6258 with Employment Services at the Human Resources office located at 1980 Arthur Street, Louisville, KY 40208."
Research Scientist,Research Scientist,University of Louisville,"Louisville, KY",Kentucky,"From $48,421 a year",https://indeed.com//rc/clk?jk=b917a8c8a0bcf58f&fccid=6d4f607d4211af63&vjs=3,"Job ID: 37800

Location: Ky Spinal Cord Injury Res Cntr

Minimum Qualifications
Ph.D. with seven years of applied research experience in a related field. A Master's degree and ten years of applied research experience may be substituted for the requirements noted. The university offers market competitive salary and benefits. Grade EG Salary minimum $48,421
Position Description
A team effort in this translational research laboratory focuses on plasticity of the spinal cord and rehabilitation strategies in adults and children with spinal cord injury.
The Research Scientist will be responsible for organizing and conducting day-to-day experimental activities related to research projects. The position will be responsible for directing, organization and analysis of collected data. This position also will have a high degree of independence in an innovative and creative research environment that emphasizes scientific rigor.
Equal Employment Opportunity
The University of Louisville is an equal opportunity, affirmative action employer, and is committed to providing employment opportunities to all qualified applicants without regard to race, sex, age, color, national origin, ethnicity, creed, religion, disability, genetic information, sexual orientation, gender, gender identity and expression, marital status, pregnancy, or veteran status. If you are unable to use our online application process due to an impairment or disability, please contact the Employment team at employment@louisville.edu or 502.852.6258.
How To Apply -Staff Positions
To apply for this position, follow the ""Online App. Form"" link below and then click on the ""Apply Now"". You must answer all required fields and submit your application by clicking the ""Submit"" button. Detailed instructions are available at louisville.edu/jobs in the ""My Career Tools"" section. Vacancies are routinely removed from the jobs portal around 7:00PM each Monday.
NOTE:
Only ONE attachment can be uploaded per application. If you wish to include a cover letter or other documents, please combine them as one document with your resume/cv, save the document with a simple short title that contains only letters, spaces, or numbers, and then upload.
EFFECTIVE 08/01/2018, the option to use an existing resume will no be longer available. On and after this date, please use the option to ""Upload a new resume"" to attach your CV or resume document.
Computers are available for application submission at the Human Resources Department located at 1980 Arthur Street - Louisville, Kentucky 40208. For more information, please contact us by email at employment@louisville.edu or by phone 502-852-6258.

If you require assistance or accommodation with our online application process, you may schedule an appointment at (502) 852-6258 with Employment Services at the Human Resources office located at 1980 Arthur Street, Louisville, KY 40208."
Business Intelligence Developer,Business Intelligence,ProLink Staffing,,Kentucky,"$95,000 - $115,000 a year",https://indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0ACEnD-_oJei6ilbifNgCeZIbBisxBXU-SXQtJVttZFzI7XoXzA_CQa63RdeI47ZqbRlsvKGaLdF3c6odsTbQt0eEeY-4rnStpB4LiCHLvl86k5bbZs2fsYjZvq89Xm6SgzW0zpVAc8mw1yDihC76nRifADaMJ1l-3IxZHCvxnsaePM7leCETIAXBHaRzc9d_GxvJH4dQYxgYU5EBh2hyxzbYWphx_Xj2dEtEkrMv1ruT6XEg1Lo8NOM4AQ0X-gf3685317nMCXwBFv7y8Ei-i-VGcpKWxfdXHvt88F63AQnXaZdMEtb50Dki_CoxtRl6ZaEzAHa2gmQe27YnBIEGTxoCddST17aY37B3rnjM2-K7sRBjD4Pi-DUSt41TGgb1_dR1mjZbmERl4M_0scYo0hTij1xbXmgZrjdqGbGeVsKzTR_8KrWLKPbT2YwfoE9yRV8pikMtMoPW9odN_QlhU-c50fYKdS4f_R4tbhKki0dQ==&p=22&fvj=1&vjs=3,"Job Summary / Job PurposeThe Business Intelligence Developer supports the design, development and implementation ofbusiness intelligence tools and solutions. Collaborates with operational and other data consumers to identify their complex business problems and provides actionable insights with the overarching goal of improving operational efficiencies.Designs, develops and maintains BI and reporting solutions that transform data into insights through interactive reports, dashboards and self-service reporting capabilities.Develops and maintains policies, processes, standards and best practices in BI solutions development and delivery.Supports the implementation, enhancement and on-going support of enterprise data platform.Supports the data through its life cycle utilizing data governance principles that ensure data quality, integrity, stewardship, security, literacy and adoption.Conducts research and makes recommendations on products, tools, services, protocols and standards that will support our data management strategy.Works in concert with Data Architects and business teams to understand business requirements and translating those requirements into developing value-add BI/Analytics solutions.Designs and maintains a curriculum for coaching and training current and prospective end users to better understand how these tools can enhance business decision making capabilities.Provides Level 1, 2 and 3 support for day-to-day production issues maintaining documentation in the appropriate tracking systems while adhering to prescribed escalation & change control procedures. Includes on call rotation.Adheres to all Security Standards as set forth by the organization and National guidelines.Additional tasks/responsibilities as defined.Essential FunctionsWorks closely with the Analytics leadership, business teams and IT infrastructure teams to design, implement and support the goals and objectives of the organization set by the leadership.Designs, develops and maintains BI and reporting solutions that transform data into insights through interactive reports, dashboards and self-service reporting capabilities.Conducts research and makes recommendations on products, tools, services, protocols and standards that will support our data management and BI strategies.Acts as a liaison between technical staff and business subject matter experts in creating and refining business requirements.Proactively communicate and collaborate with internal and external customers to analyze information needs and functional requirements and delivery.Performs Tier 1, 2 and 3 Application/Systems support.Maintains relationship with vendors of hospital applications to understand current and future features and functionality and product life cycle.Core ExpectationsCollaboration & Teamwork: works cooperatively and collaboratively with others toward the accomplishment of shared goals.Valuing Diversity: recognizing and embracing the unique talents and contributions of others.Service Orientation: desire to serve and focus one’s efforts on discovering and meeting the needs of internal and external customers.Achieves Results: reflects a drive to achieve and outperform. Continuously looking for improvements. Accepts responsibility for actions and results.Organizational Alignment: ability to align people, processes and organizational structure with our strategic direction.Developing Others: views people, their knowledge and capabilities as assets and provides opportunities that allow employees to continuously learn and develop.Communication: practices attentive and active listening and can restate opinions of others; communicates messages in a way that has the desired effect.Integrity: conducts business with honesty and professional ethics. Seeks to achieve results in the best interest of the organization. Models and reinforces ethical behavior in self and others.Additional Responsibilities: Demonstrates a commitment to service, organization values and professionalism through appropriate conduct and demeanor at all times.Adheres to and exhibits our core values:*Integrity:  Moral wholeness, soundness, uprightness, honesty and sincerity as a basis of trustworthiness.*Excellence:  Outstanding achievement, merit, virtue; continually surpassing standards to achieve/maintain quality.Maintains confidentiality and protects sensitive data at all times.Adheres to organizational and department specific safety standards and guidelines.Works collaboratively and supports efforts of team members.Demonstrates exceptional customer service and interacts effectively with physicians, patients, residents, visitors, staff and the broader health care community. Job Requirements / QualificationsEducation / Accreditation / Licensure (required & preferred): Bachelor’s Degree in Business, Information Science or Computer Science required. Master’s Degree highly preferred.Experience (required and preferred): 5+ years of experience in the development of reporting/analytics solutions using any BI tools required with 3+ years’ experience in Tableau preferredStrong knowledge of data warehouse design concepts and relational databases is required.Expert knowledge of data governance practices and data life cycle management highly desired.Experience in Agile development methodology for analytics projects.Experience and ability in working directly with vendors, customers and other IT teams.Job Type: Full-timeSalary: $95,000.00 to $115,000.00 /yearWork authorization:United States (Required)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offTuition reimbursement"
Data Analyst,Data Analyst,Kable Staffing,,Kentucky,$15 - $18 an hour,https://indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BF1puCL5FiA-6r683l_xSDxA3eTI2GX8Y2ZQexlpsVuN_5WAHVPF-hzlaneFXnqVR8Q2fOiP0lI9W_PI3TmDqi-I1DqkyfFfZXme6CwAstiSgUICYo-7we8tQwiG0Po9r5sRbAbZg12zvkAJdcnD4J3bewitIiBgY12mJhVEhHrupRrRHmEH2A7Noe2DJA3fJloq80GxRdBG8GaU4ankJLPGY_7Peiuk9Vk9TnMOq_xoUuFhy_jgGjpam_4Kju1G1_9OE41YMXGm8rqov-rBz_49v5bUeC6Yv53sDEv6EO4i9aSuuNnmVIR_ap7EWHcZ7ONGZOd_T20ovAsHxJ4VWpK1_yfeQ-zkmrYpZPokWi-tiM0cmMroekadUoShs4Kvc5Twwmp747rYjrDihbWxptNrpHw1PwHjJRW6YeaopfLQvJYGlxnKyWFOoeJh4vD1U=&p=2&fvj=1&vjs=3,"Kable Staffing is currently seeking individuals for a 1st shift Data Analyst in Hebron, KY. You will be running data reports using SAP software. You will be responsible to then transfer data to different Microsoft Office programs such as excel, power point and word.Job Duties are but not limited to:Help the sales team in gathering data for analysisSupport in preparing presentationsSupport with analysis to manage our inventory and forecastAssist in controlling in transit inventorySupport our team in gathering information from our system to predict our inventory and backlog by month endControl our marketing budgetQualifications:Comfortable using a computerProficient in Microsoft Office programs (Excel, Word, PowerPoint)Able to work day shift hoursSAP software experience preferredProficient in Lotus is needed#HebronJob Type: Full-timeSalary: $15.00 to $18.00 /hourJob Type: Full-timeSalary: $15.00 to $18.00 /hourExperience:relevant: 1 year (Required)"
Data Analyst (Contract),Data Analyst,"BGB Trucking, inc","Eddyville, KY 42038",Kentucky,"$55,000 a year",https://indeed.com//company/BGB-Trucking/jobs/Data-Analyst-5b21305dfee3ffa2?fccid=a697e279af203edb&vjs=3,"BGB is seeking someone that has a Transportation background. They must demonstrate their ability to use and develop their skills to maximize the new innovations that the industry is faced with today. Self starter, Dedicated, Knowledgable of the transportation industry. This position has a high probability of full time.1. Computer back ground2. Integrations skills3. Communication4. Team oriented5. Advance skill set to be innovative6. Overseer of projects that have deadlines.Job Type: Part-timeSalary: $55,000.00 /year"
Data Analyst/Report Writer/UKHC,Data Analyst,University of Kentucky,"Lexington, KY",Kentucky,$19.66 - $31.20 an hour,https://indeed.com//rc/clk?jk=16d34fb245ce106a&fccid=08f0dbb5cdf17d24&vjs=3,"Required License/Registration/Certification
None

Physical Requirements
This position may require sitting, standing and/or walking for extended periods of time.

Shift
Primarily day shift Monday through Friday 8AM-5PM.

Job Summary
The viability of the UKHC Ambulatory Practice is dependent upon efficient time management and the ability to maximize patient visit volumes. Patient scheduling contains both centralized and decentralized components; therefore, it is the responsibility of the ASO office to implement, train, and monitor software users to ensure policy adherence and best practice implementation.

Skills / Knowledge / Abilities
Ability to use Microsoft Office software including EXCEL, Access, etc as needed to perform daily duties.

Does this position have supervisory responsibilities? No

Preferred Education/Experience
Prefer 3 years customer service and/or scheduling experience.


University Community of Inclusion
The University of Kentucky is committed to a diverse and inclusive workforce by ensuring all our students, faculty, and staff work in an environment of openness and acceptance. We strive to foster a community where people of all backgrounds, identities, and perspectives can feel secure and welcome. We also value the well-being of each of our employees and are dedicated to creating a healthy place to work, learn and live. In the interest of maintaining a safe and healthy environment for our students, employees, patients and visitors the University of Kentucky is a Tobacco & Drug Free campus.

As an Equal Opportunity Employer, we strongly encourage veterans, individuals with disabilities, women, and all minorities to consider our employment opportunities.

Any candidate offered a position may be required to pass pre-employment screenings as mandated by University of Kentucky Human Resources. These screenings may include a national background check and/or drug screen."
Junior Data Analyst,Data Analyst,Strategic Marketing Services,"Louisville, KY 40223",Kentucky,"$32,000 - $39,500 a year",https://indeed.com//company/Strategic-Marketing/jobs/Junior-Data-Analyst-2e14c260c49c45a5?fccid=bed3ab886ec0d239&vjs=3,"Basic Function: Develop and process targeted mailing lists for direct marketing campaigns. Manage data, perform data hygiene & conduct data analysis. Communicate daily with Sales, Production, and Customers to ensure that all orders are processed with 100% security, accuracy and timeliness.Responsibilities: Process data requests on our proprietary Data Management system in a manner to ensure security, accuracy, efficiency, timeliness and quality service.Understand data parameters and process data sets for each customer order.Apply knowledge of company products and services to respond to all data inquiries in a professional and team-oriented manner. Make recommendations for improvement as applicable during each transaction.Proactively identify any barriers to meeting order drop dates and communicate these barriers to the Operations Manager and Account Coordinators.Responsible for communicating with vendors, customers, Graphics, Data and Sales Reps on a regular basis to ensure that each job runs smoothly and on time.Correspond with Dealer Management System (DMS) contacts to activate and deactivate direct dealer integrations.Work with all other Operations staff to ensure that office operations are efficient and accurate.Other projects and duties as assigned.Education/Experience: Bachelor’s Degree (B.A.); Minimum one to two years of experience in job force; or equivalent combination of education and experience. Degree in CIS or other computer related fields a plus.Skills: Computer LiteracyMicrosoft ExcelCommunication SkillsAnalyticalDetail OrientedOrganizationProblem SolvingOrganizationMulti-TaskingProfessionalTime ManagementSelf-MotivatedJob Type: Full-timeSalary: $32,000.00 to $39,500.00 /yearExperience:relevant: 1 year (Preferred)job force: 1 year (Preferred)Education:Bachelor's (Preferred)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time off"
